Site,Total,Baseline,Stressed,VPD_85th,SWC_25th
CA-Ca1,3539,2364 (66.8%),1175 (33.2%),10.62,10.43
CA-Ca2,3032,2155 (71.1%),877 (28.9%),11.15,15.27
CA-Cbo,5477,3935 (71.8%),1542 (28.2%),12.68,9.56
CA-Gro,2765,1842 (66.6%),923 (33.4%),10.78,35.36
CA-TP1,4518,3138 (69.5%),1380 (30.5%),11.41,9.35
CA-TP3,5422,3761 (69.4%),1661 (30.6%),9.68,7.60
CA-TP4,6017,4195 (69.7%),1822 (30.3%),11.81,7.89
CA-TPD,3432,2334 (68.0%),1098 (32.0%),10.86,6.92
DE-Tha,8694,7041 (81.0%),1653 (19.0%),11.08,5.27
FR-Pue,7481,6248 (83.5%),1233 (16.5%),18.64,8.11
IT-Ren,5921,4127 (69.7%),1794 (30.3%),7.76,20.63
US-Ha1,7733,6409 (82.9%),1324 (17.1%),10.90,11.57
US-MMS,5694,3774 (66.3%),1920 (33.7%),14.28,29.39
